DATA,DESCRICAO,VALOR,SITUACAO
05/09/2022,AJUDAR EM CASA,"R$ 200,00",PAGO
05/09/2022,SALARIO SETEMBRO,"R$ 1.080,00",RECEBIDO
09/09/2022,MACANETA PARA O QUARTO,"R$ 55,00",PAGO
09/09/2022,DINHEIRO GUARDADO,"R$ 355,00",RECEBIDO
10/09/2022,CONSERTO DO OUTRO CELULAR,"R$ 100,00",PREVISTO
10/09/2022,UBER,"R$ 26,00",PAGO
11/09/2022,CHURRASCO,"R$ 100,00",PAGO
17/09/2022,AJUDAR NA GASOLINA,"R$ 80,00",PAGO
17/09/2022,COMPRAS ESSENCIAIS,"R$ 25,00",PAGO
17/09/2022,FUNDO ESPECIAL TATICO,"R$ 20,00",PAGO
18/09/2022,VASSOURA SOCORRO,"R$ 9,00",PAGO
